iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0000567	tiller angle	http://purl.obolibrary.org/obo/PATO_0000133	orientation	http://purl.obolibrary.org/obo/PO_0005001	
http://purl.obolibrary.org/obo/TO_0000206	leaf angle	http://purl.obolibrary.org/obo/PATO_0000133	orientation	http://purl.obolibrary.org/obo/PO_0009025	
http://purl.obolibrary.org/obo/TO_0000577	stem angle	http://purl.obolibrary.org/obo/PATO_0000133	orientation	http://purl.obolibrary.org/obo/PO_0009047	
http://purl.obolibrary.org/obo/TO_0000124	flag leaf angle	http://purl.obolibrary.org/obo/PATO_0000133	orientation	http://purl.obolibrary.org/obo/PO_0020103	
http://purl.obolibrary.org/obo/TO_0000270	inflorescence axis angle	http://purl.obolibrary.org/obo/PATO_0000133	orientation	http://purl.obolibrary.org/obo/PO_0020122	
