iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0020016	seed texture	http://purl.obolibrary.org/obo/PATO_0000150	texture	http://purl.obolibrary.org/obo/PO_0009010	
http://purl.obolibrary.org/obo/TO_0000805	inflorescence texture	http://purl.obolibrary.org/obo/PATO_0000150	texture	http://purl.obolibrary.org/obo/PO_0009049	
http://purl.obolibrary.org/obo/TO_0002623	pericarp texture	http://purl.obolibrary.org/obo/PATO_0000150	texture	http://purl.obolibrary.org/obo/PO_0009084	
http://purl.obolibrary.org/obo/TO_0002624	exocarp texture	http://purl.obolibrary.org/obo/PATO_0000150	texture	http://purl.obolibrary.org/obo/PO_0009085	
http://purl.obolibrary.org/obo/TO_0000903	seed coat texture	http://purl.obolibrary.org/obo/PATO_0000150	texture	http://purl.obolibrary.org/obo/PO_0009088	
http://purl.obolibrary.org/obo/TO_0002754	inflorescence axis texture	http://purl.obolibrary.org/obo/PATO_0000150	texture	http://purl.obolibrary.org/obo/PO_0020122	
