iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0000478	abscisic acid concentration	http://purl.obolibrary.org/obo/PATO_0000033	concentration of	http://purl.obolibrary.org/obo/CHEBI_22152	
http://purl.obolibrary.org/obo/TO_0000513	potassium concentration	http://purl.obolibrary.org/obo/PATO_0000033	concentration of	http://purl.obolibrary.org/obo/CHEBI_26216	
http://purl.obolibrary.org/obo/TO_0000526	sodium concentration	http://purl.obolibrary.org/obo/PATO_0000033	concentration of	http://purl.obolibrary.org/obo/CHEBI_26708	
http://purl.obolibrary.org/obo/TO_0000702	starch concentration	http://purl.obolibrary.org/obo/PATO_0000033	concentration of	http://purl.obolibrary.org/obo/CHEBI_28017	
