iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0000207	plant height	http://purl.obolibrary.org/obo/PATO_0000119	height	http://purl.obolibrary.org/obo/PO_0000003	
http://purl.obolibrary.org/obo/TO_0000682	inflorescence height	http://purl.obolibrary.org/obo/PATO_0000119	height	http://purl.obolibrary.org/obo/PO_0009049	
http://purl.obolibrary.org/obo/TO_0000797	tassel inflorescence height	http://purl.obolibrary.org/obo/PATO_0000119	height	http://purl.obolibrary.org/obo/PO_0020126	
