iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_0000612	grain density	http://purl.obolibrary.org/obo/PATO_0001019	mass density	http://purl.obolibrary.org/obo/PO_0009010	
http://purl.obolibrary.org/obo/TO_0000625	spikelet density	http://purl.obolibrary.org/obo/PATO_0001019	mass density	http://purl.obolibrary.org/obo/PO_0009051	
