iri	iri label	attribute	attribute label	entity	entity label	
http://purl.obolibrary.org/obo/TO_1000004	infructescence position	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/PO_0006342	infructescence
http://purl.obolibrary.org/obo/TO_1000011	fruit position	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/PO_0009001	fruit
http://purl.obolibrary.org/obo/TO_0000541	leaf position	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/PO_0025034	leaf
http://purl.obolibrary.org/obo/TO_1000008	branch position	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/PO_0025073	branch
http://purl.obolibrary.org/obo/TO_0000683	ear infructescence position	http://purl.obolibrary.org/obo/PATO_0000140	position	http://purl.obolibrary.org/obo/PO_0025597	ear infructescence
