iri	iri label	attribute	attribute label	entity	entity label	
TO:0000306	root thickness	PATO:0000915	thickness	PO:0009005	root
TO:0000304	seed thickness	PATO:0000915	thickness	PO:0009010	seed
TO:0000339	stem thickness	PATO:0000915	thickness	PO:0009047	stem
TO:0000907	exocarp thickness	PATO:0000915	thickness	PO:0009085	exocarp
TO:0000823	leaf midvein thickness	PATO:0000915	thickness	PO:0020139	leaf midvein
TO:0000094	basal root thickness	PATO:0000915	thickness	PO:0025002	basal root
TO:0000258	leaf thickness	PATO:0000915	thickness	PO:0025034	leaf
TO:0002719	awn thickness	PATO:0000915	thickness	PO:0025349	awn
